"No.","Time","Source","Destination","Protocol","Length","Info"
"151","2.577664","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans:  5652; Unit:   1, Func:   6: Write Single Register"
"152","2.577717","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=433 Ack=433 Win=10103 Len=0"
"153","2.577854","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 40695; Unit:   1, Func:   6: Write Single Register"
"154","2.577889","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=433 Ack=445 Win=10103 Len=0"
"155","2.608687","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 40695; Unit:   1, Func:   6: Write Single Register"
"156","2.608738","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=445 Ack=445 Win=10103 Len=0"
"157","2.608796","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 16940; Unit:   1, Func:   6: Write Single Register"
"158","2.608816","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=445 Ack=457 Win=10103 Len=0"
"159","2.639939","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 16940; Unit:   1, Func:   6: Write Single Register"
"160","2.639991","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=457 Ack=457 Win=10103 Len=0"
"161","2.640077","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 45308; Unit:   1, Func:   6: Write Single Register"
"162","2.640111","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=457 Ack=469 Win=10103 Len=0"
"163","2.671424","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 45308; Unit:   1, Func:   6: Write Single Register"
"164","2.671483","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=469 Ack=469 Win=10103 Len=0"
"165","2.702424","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans:   464; Unit:   1, Func:   3: Read Holding Registers"
"166","2.702465","127.0.0.1","127.0.0.1","TCP","44","502  >  1615 [ACK] Seq=99 Ack=37 Win=10211 Len=0"
"167","2.718205","127.0.0.1","127.0.0.1","Modbus/TCP","93","Response: Trans:   464; Unit:   1, Func:   3: Read Holding Registers"
"168","2.718257","127.0.0.1","127.0.0.1","TCP","44","1615  >  502 [ACK] Seq=37 Ack=148 Win=10150 Len=0"
"169","3.176177","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 22032; Unit:   1, Func:   6: Write Single Register"
"170","3.176217","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=469 Ack=481 Win=10103 Len=0"
"171","3.191360","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 22032; Unit:   1, Func:   6: Write Single Register"
"172","3.191417","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=481 Ack=481 Win=10103 Len=0"
"173","3.191587","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 46075; Unit:   1, Func:   6: Write Single Register"
"174","3.191606","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=481 Ack=493 Win=10103 Len=0"
"175","3.222577","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 46075; Unit:   1, Func:   6: Write Single Register"
"176","3.222642","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=493 Ack=493 Win=10103 Len=0"
"177","3.222850","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 60884; Unit:   1, Func:   6: Write Single Register"
"178","3.222893","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=493 Ack=505 Win=10103 Len=0"
"179","3.253756","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 60884; Unit:   1, Func:   6: Write Single Register"
"180","3.253807","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=505 Ack=505 Win=10103 Len=0"
"181","3.254118","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 14537; Unit:   1, Func:   6: Write Single Register"
"182","3.254181","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=505 Ack=517 Win=10103 Len=0"
"183","3.285068","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 14537; Unit:   1, Func:   6: Write Single Register"
"184","3.285122","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=517 Ack=517 Win=10103 Len=0"
"185","3.285252","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 48486; Unit:   1, Func:   6: Write Single Register"
"186","3.285272","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=517 Ack=529 Win=10103 Len=0"
"187","3.316191","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 48486; Unit:   1, Func:   6: Write Single Register"
"188","3.316239","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=529 Ack=529 Win=10102 Len=0"
"189","3.316428","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 26632; Unit:   1, Func:   6: Write Single Register"
"190","3.316462","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=529 Ack=541 Win=10102 Len=0"
"191","3.347406","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 26632; Unit:   1, Func:   6: Write Single Register"
"192","3.347444","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=541 Ack=541 Win=10102 Len=0"
"193","3.347614","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 48073; Unit:   1, Func:   6: Write Single Register"
"194","3.347633","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=541 Ack=553 Win=10102 Len=0"
"195","3.378693","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 48073; Unit:   1, Func:   6: Write Single Register"
"196","3.378740","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=553 Ack=553 Win=10102 Len=0"
"197","3.378840","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 52183; Unit:   1, Func:   6: Write Single Register"
"198","3.378858","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=553 Ack=565 Win=10102 Len=0"
"199","3.409914","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 52183; Unit:   1, Func:   6: Write Single Register"
"200","3.409967","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=565 Ack=565 Win=10102 Len=0"
"201","3.722517","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans:   465; Unit:   1, Func:   3: Read Holding Registers"
"202","3.722567","127.0.0.1","127.0.0.1","TCP","44","502  >  1615 [ACK] Seq=148 Ack=49 Win=10211 Len=0"
"203","3.738321","127.0.0.1","127.0.0.1","Modbus/TCP","93","Response: Trans:   465; Unit:   1, Func:   3: Read Holding Registers"
